kamu/grow.js:   18:29:55.099 | Batch: 4269 - 0   |    G    | +55.02ms
kamu/weaken.js:   18:29:55.117 | Batch: 4269 - 0 |       W | +53.02ms
kamu/hack.js: 18:29:55.119 | Batch: 4269 - 1     | H       | +15.02ms
kamu/grow.js:   18:29:55.168 | Batch: 4269 - 1   |    G    | +44.02ms
kamu/weaken.js:   18:29:55.199 | Batch: 4269 - 1 |       W | +55.02ms
kamu/hack.js: 18:29:55.200 | Batch: 4269 - 2     | H       | +16.02ms
kamu/hack.js: 18:29:55.200 | Batch: 4269 - 2     | H       | +16.02ms
kamu/grow.js:   18:29:55.277 | Batch: 4269 - 2   |    G    | +73.02ms
kamu/weaken.js:   18:29:55.280 | Batch: 4269 - 2 |       W | +56.02ms
kamu/hack.js: 18:29:55.280 | Batch: 4269 - 3     | H       | +16.02ms
kamu/grow.js:   18:29:55.328 | Batch: 4269 - 3   |    G    | +44.02ms
kamu/weaken.js:   18:29:55.358 | Batch: 4269 - 3 |       W | +54.02ms
kamu/hack.js: 18:29:55.359 | Batch: 4269 - 4     | H       | +15.02ms
kamu/grow.js:   18:29:55.407 | Batch: 4269 - 4   |    G    | +43.02ms
kamu/weaken.js:   18:29:55.476 | Batch: 4269 - 4 |       W | +92.02ms
kamu/hack.js: 18:29:55.477 | Batch: 4269 - 5     | H       | +53.02ms
kamu/grow.js:   18:29:55.503 | Batch: 4269 - 5   |    G    | +59.02ms
kamu/weaken.js:   18:29:55.518 | Batch: 4269 - 5 |       W | +54.02ms
kamu/hack.js: 18:29:55.871 | Batch: 4270 - 0     | H       | +31.02ms
kamu/grow.js:   18:29:55.876 | Batch: 4270 - 0   |    G    | +16.02ms
kamu/weaken.js:   18:29:55.880 | Batch: 4270 - 0 |       W | +0.02ms
kamu/hack.js: 18:29:55.921 | Batch: 4270 - 1     | H       | +1.02ms
kamu/grow.js:   18:29:55.969 | Batch: 4270 - 1   |    G    | +29.02ms
kamu/weaken.js:   18:29:55.974 | Batch: 4270 - 1 |       W | +14.02ms
kamu/hack.js: 18:29:56.000 | Batch: 4270 - 2     | H       | +0.02ms
kamu/grow.js:   18:29:56.020 | Batch: 4270 - 2   |    G    | +0.02ms
kamu/weaken.js:   18:29:56.062 | Batch: 4270 - 2 |       W | +22.02ms
kamu/hack.js: 18:29:56.080 | Batch: 4270 - 3     | H       | +0.02ms
kamu/grow.js:   18:29:56.100 | Batch: 4270 - 3   |    G    | +0.02ms
kamu/weaken.js:   18:29:56.120 | Batch: 4270 - 3 |       W | +0.02ms
kamu/hack.js: 18:29:56.165 | Batch: 4270 - 4     | H       | +5.02ms
kamu/grow.js:   18:29:56.180 | Batch: 4270 - 4   |    G    | +0.02ms
kamu/weaken.js:   18:29:56.204 | Batch: 4270 - 4 |       W | +4.02ms
kamu/hack.js: 18:29:56.267 | Batch: 4270 - 5     | H       | +27.02ms
kamu/grow.js:   18:29:56.273 | Batch: 4270 - 5   |    G    | +13.02ms
kamu/weaken.js:   18:29:56.280 | Batch: 4270 - 5 |       W | +0.02ms
kamu/hack.js: 18:29:56.321 | Batch: 4270 - 6     | H       | +1.02ms
kamu/grow.js:   18:29:56.350 | Batch: 4270 - 6   |    G    | +10.02ms
kamu/weaken.js:   18:29:56.360 | Batch: 4270 - 6 |       W | +0.02ms
kamu/hack.js: 18:29:56.402 | Batch: 4270 - 7     | H       | +2.02ms
kamu/grow.js:   18:29:56.421 | Batch: 4270 - 7   |    G    | +1.02ms
kamu/weaken.js:   18:29:56.474 | Batch: 4270 - 7 |       W | +34.02ms
kamu/hack.js: 18:29:56.480 | Batch: 4270 - 8     | H       | +0.02ms
kamu/grow.js:   18:29:56.500 | Batch: 4270 - 8   |    G    | +0.02ms
kamu/weaken.js:   18:29:56.521 | Batch: 4270 - 8 |       W | +1.02ms
kamu/hack.js: 18:29:56.560 | Batch: 4270 - 9     | H       | +0.02ms
kamu/grow.js:   18:29:56.580 | Batch: 4270 - 9   |    G    | +0.02ms
kamu/weaken.js:   18:29:56.600 | Batch: 4270 - 9 |       W | +0.02ms
kamu/hack.js: 18:29:56.673 | Batch: 4271 - 0     | H       | +19.02ms
kamu/grow.js:   18:29:56.676 | Batch: 4271 - 0   |    G    | +2.02ms
kamu/grow.js:   18:29:56.676 | Batch: 4271 - 0   |    G    | +2.02ms
kamu/weaken.js:   18:29:56.699 | Batch: 4271 - 0 |       W | +5.02ms
kamu/hack.js: 18:29:56.755 | Batch: 4271 - 1     | H       | +21.02ms
kamu/grow.js:   18:29:56.758 | Batch: 4271 - 1   |    G    | +4.02ms
kamu/weaken.js:   18:29:56.785 | Batch: 4271 - 1 |       W | +11.02ms
kamu/hack.js: 18:29:56.815 | Batch: 4271 - 2     | H       | +1.02ms
kamu/grow.js:   18:29:56.871 | Batch: 4271 - 2   |    G    | +37.02ms
kamu/weaken.js:   18:29:56.872 | Batch: 4271 - 2 |       W | +18.02ms
kamu/hack.js: 18:29:56.901 | Batch: 4271 - 3     | H       | +7.02ms
kamu/grow.js:   18:29:56.915 | Batch: 4271 - 3   |    G    | +1.02ms
